Scope,Mode,QQQ beta,QQQ band,SPY beta,SPY band,Name,Base CAGR,CAGR,CAGR Loss,Base Sharpe,Sharpe,Sharpe Loss,Base Max Drawdown,Max Drawdown,Max Drawdown Improvement,Turnover,Trade Count,Final Equity,Pass Sharpe,Pass CAGR,Candidate
Portfolio,config_weights,0.0,0.12,0.2,0.1,Portfolio config_weights qqq=0.00/0.12 spy=0.20/0.10,0.038791362946228425,0.03720909919007087,0.0015822637561575537,0.8692790127340393,0.8622759695008088,0.007003043233230533,-0.07901604652486238,-0.07513235361301329,0.0038836929118490904,13.391742052921035,220,194751.84047605167,True,True,True
Portfolio,config_weights,0.0,0.15,0.2,0.1,Portfolio config_weights qqq=0.00/0.15 spy=0.20/0.10,0.038791362946228425,0.03720909919007087,0.0015822637561575537,0.8692790127340393,0.8622759695008088,0.007003043233230533,-0.07901604652486238,-0.07513235361301329,0.0038836929118490904,13.391742052921035,220,194751.84047605167,True,True,True
Portfolio,config_weights,0.0,0.2,0.2,0.1,Portfolio config_weights qqq=0.00/0.20 spy=0.20/0.10,0.038791362946228425,0.03720909919007087,0.0015822637561575537,0.8692790127340393,0.8622759695008088,0.007003043233230533,-0.07901604652486238,-0.07513235361301329,0.0038836929118490904,13.391742052921035,220,194751.84047605167,True,True,True
Portfolio,config_weights,0.05,0.2,0.2,0.15,Portfolio config_weights qqq=0.05/0.20 spy=0.20/0.15,0.038791362946228425,0.03681848612182703,0.0019728768244013928,0.8692790127340393,0.8631247307799819,0.006154281954057428,-0.07901604652486238,-0.07516646038329056,0.0038495861415718258,12.833273603856114,220,193418.02082207237,True,True,True
Portfolio,config_weights,0.0,0.1,0.2,0.08,Portfolio config_weights qqq=0.00/0.10 spy=0.20/0.08,0.038791362946228425,0.03713032122767146,0.001661041718556966,0.8692790127340393,0.860490821608312,0.008788191125727263,-0.07901604652486238,-0.07526071687806979,0.0037553296467925934,13.409905486793587,219,194482.1408366191,True,True,True
Portfolio,config_weights,0.0,0.12,0.2,0.08,Portfolio config_weights qqq=0.00/0.12 spy=0.20/0.08,0.038791362946228425,0.03713032122767146,0.001661041718556966,0.8692790127340393,0.860490821608312,0.008788191125727263,-0.07901604652486238,-0.07526071687806979,0.0037553296467925934,13.409905486793587,219,194482.1408366191,True,True,True
Portfolio,config_weights,0.0,0.15,0.2,0.08,Portfolio config_weights qqq=0.00/0.15 spy=0.20/0.08,0.038791362946228425,0.03713032122767146,0.001661041718556966,0.8692790127340393,0.860490821608312,0.008788191125727263,-0.07901604652486238,-0.07526071687806979,0.0037553296467925934,13.409905486793587,219,194482.1408366191,True,True,True
Portfolio,config_weights,0.0,0.2,0.2,0.08,Portfolio config_weights qqq=0.00/0.20 spy=0.20/0.08,0.038791362946228425,0.03713032122767146,0.001661041718556966,0.8692790127340393,0.860490821608312,0.008788191125727263,-0.07901604652486238,-0.07526071687806979,0.0037553296467925934,13.409905486793587,219,194482.1408366191,True,True,True
Portfolio,config_weights,0.05,0.2,0.15,0.15,Portfolio config_weights qqq=0.05/0.20 spy=0.15/0.15,0.038791362946228425,0.03718329291061906,0.0016080700356093658,0.8692790127340393,0.8655076005562762,0.0037714121777631116,-0.07901604652486238,-0.07555745839114936,0.0034585881337130253,13.155278396165514,220,194663.45269230817,True,True,True
Portfolio,config_weights,0.05,0.15,0.15,0.15,Portfolio config_weights qqq=0.05/0.15 spy=0.15/0.15,0.038791362946228425,0.03715595908046332,0.001635403865765106,0.8692790127340393,0.8651626952677957,0.004116317466243635,-0.07901604652486238,-0.07570111042290872,0.0033149361019536583,13.13625461603718,220,194569.87432148133,True,True,True
Portfolio,config_weights,0.05,0.2,0.15,0.12,Portfolio config_weights qqq=0.05/0.20 spy=0.15/0.12,0.038791362946228425,0.03712909805721454,0.001662264889013887,0.8692790127340393,0.8643726993178864,0.004906313416152885,-0.07901604652486238,-0.07573321457971172,0.003282831945150666,13.135563344436054,220,194477.95604607614,True,True,True
Portfolio,config_weights,0.05,0.12,0.15,0.15,Portfolio config_weights qqq=0.05/0.12 spy=0.15/0.15,0.038791362946228425,0.037139480292140536,0.0016518826540878884,0.8692790127340393,0.8649595128226679,0.004319499911371372,-0.07901604652486238,-0.07579278375363196,0.0032232627712304174,13.122846207239842,220,194513.47913024627,True,True,True
Portfolio,config_weights,0.05,0.1,0.15,0.15,Portfolio config_weights qqq=0.05/0.10 spy=0.15/0.15,0.038791362946228425,0.03712894816976431,0.0016624147764641162,0.8692790127340393,0.8648251664570779,0.004453846276961437,-0.07901604652486238,-0.07585373604009527,0.003162310484767117,13.113016566729884,220,194477.44324720898,True,True,True
Portfolio,config_weights,0.05,0.2,0.15,0.1,Portfolio config_weights qqq=0.05/0.20 spy=0.15/0.10,0.038791362946228425,0.03708218717088774,0.0017091757753406878,0.8692790127340393,0.863355988806795,0.005923023927244309,-0.07901604652486238,-0.07586333086528252,0.0031527156595798633,13.123877989331852,220,194317.52567273093,True,True,True
Portfolio,config_weights,0.05,0.15,0.15,0.12,Portfolio config_weights qqq=0.05/0.15 spy=0.15/0.12,0.038791362946228425,0.037101754409183174,0.0016896085370452507,0.8692790127340393,0.8640224542017497,0.005256558532289568,-0.07901604652486238,-0.07587686019661932,0.00313918632824306,13.116539564307722,220,194384.42838887684,True,True,True
Portfolio,config_weights,0.0,0.1,0.15,0.15,Portfolio config_weights qqq=0.00/0.10 spy=0.15/0.15,0.038791362946228425,0.03770769603917201,0.0010836669070564131,0.8692790127340393,0.8670154216934315,0.002263591040607804,-0.07901604652486238,-0.07588400229189851,0.003132044232963871,13.715055017915653,220,196467.02409970821,True,True,True
Portfolio,config_weights,0.0,0.12,0.15,0.15,Portfolio config_weights qqq=0.00/0.12 spy=0.15/0.15,0.038791362946228425,0.03770769603917201,0.0010836669070564131,0.8692790127340393,0.8670154216934315,0.002263591040607804,-0.07901604652486238,-0.07588400229189851,0.003132044232963871,13.715055017915653,220,196467.02409970821,True,True,True
