Segment,Name,Start,End,Total Return,CAGR,Max Drawdown,Annual Avg Max Drawdown,Sharpe,Volatility,Final Equity,Average Position,Min Position,Max Position,Turnover,Trade Count
2020-2022,Portfolio Base config weights,2020-01-31,2022-12-31,0.08653367114762256,0.028871864133366287,-0.0761394221568732,-0.03948760806401234,0.5194101014504047,0.056286397000284843,108653.36711476225,0.2789183581937105,0.0,0.425,2.443770528242759,29
2020-2022,Portfolio SPY-only Ladder config weights,2020-01-31,2022-12-31,0.0908058515501573,0.030257496972463382,-0.07375629550721796,-0.038668837292802016,0.5419620997865419,0.056372656215235246,109080.58515501572,0.28098433041593274,0.006716265007772879,0.425,2.433870790253337,29
2020-2022,Portfolio Base 50/50,2020-01-31,2022-12-31,0.19761721321873216,0.06379948291993198,-0.1723578598785792,-0.09150800835429329,0.519410101450405,0.1324385811771408,119761.72132187322,0.6562784898675541,0.0,1.0,5.750048301747668,29
2020-2022,Portfolio SPY-only Ladder 50/50,2020-01-31,2022-12-31,0.20863254376099793,0.06714506950420485,-0.16737614554027458,-0.08972224464369442,0.541962099786542,0.13264154403584766,120863.2543760998,0.6611396009786651,0.015802976488877362,1.0,5.726754800596088,29
2023-End,QQQ Base,2023-01-31,2026-04-30,0.8343193077876687,0.2056196366695653,-0.08373035451025024,-0.06702977731275972,1.4995113605949435,0.12751684097629004,183431.93077876687,0.8615174638421472,0.0,1.0,5.100285137583734,23
2023-End,SPY Base,2023-01-31,2026-04-30,0.5160037224167902,0.13683347863357165,-0.08169056596186719,-0.06277635045399604,1.2651540061730475,0.10328685655208189,151600.37224167903,0.8663606021869373,0.04788694540667878,1.0,4.5903972262798645,30
2023-End,SPY Selected Ladder,2023-01-31,2026-04-30,0.5255088473219343,0.13902571185454882,-0.08169056596186708,-0.06277635045399602,1.284541541923398,0.10319666376804652,152550.88473219343,0.8688606021869374,0.1478869454066788,1.0,4.5903972262798645,30
2023-End,Portfolio Base config weights,2023-01-31,2026-04-30,0.25079507378242116,0.07140947224186145,-0.03479000870714544,-0.027721865606983365,1.4524581866091943,0.04709321837558313,125079.50737824211,0.36717408903118043,0.010175975898919241,0.425,2.199980411973511,30
2023-End,Portfolio SPY-only Ladder config weights,2023-01-31,2026-04-30,0.2524655131978817,0.0718503025169468,-0.03479000870714544,-0.02772186560698342,1.4621668877442686,0.04705470911348762,125246.55131978817,0.3677053390311805,0.03142597589891924,0.425,2.168105411973511,30
2023-End,Portfolio Base 50/50,2023-01-31,2026-04-30,0.6708013374135742,0.17141730590525373,-0.08080274168008139,-0.06469168667982228,1.4524581866091941,0.1108075726484309,167080.13374135742,0.8639390330145421,0.02394347270333939,1.0,5.176424498761202,30
2023-End,Portfolio SPY-only Ladder 50/50,2023-01-31,2026-04-30,0.6760470542185846,0.172549686684494,-0.08080274168008117,-0.06469168667982225,1.462166887744269,0.11071696261997087,167604.70542185847,0.8651890330145424,0.0739434727033394,1.0,5.101424498761203,30
