英雄 ID,英雄名称,英雄评级,英雄胜率,英雄出场率,海克斯ID,源站排名,源站层级,海克斯阶级,海克斯名称,海克斯胜率,海克斯出场率,胜率差,综合得分
555,血港鬼影,5,0.4443088024849607,0.0077598078770362506,2024,49,T2,白银,由暴生急,0.4032176973353444,0.01348959287065861,-0.04109110514961628,-0.87682181852625
555,血港鬼影,5,0.4443088024849607,0.0077598078770362506,2095,50,T3,棱彩,掷骰狂人,0.5017862942513803,0.010441039831261403,0.05747749176641964,1.595642403054024
555,血港鬼影,5,0.4443088024849607,0.0077598078770362506,1329,51,T3,棱彩,史上最大雪球,0.4955341193283315,0.009491546114875175,0.05122531684337084,1.4229224058560472
555,血港鬼影,5,0.4443088024849607,0.0077598078770362506,1105,52,T3,白银,家园卫士,0.4675234456408475,0.009762830033842668,0.023214643155886838,0.6599462952942116
555,血港鬼影,5,0.4443088024849607,0.0077598078770362506,1305,53,T3,白银,练腿日,0.4671328671328671,0.012123000128859862,0.022824064647906428,0.6549496231820944
555,血港鬼影,5,0.4443088024849607,0.0077598078770362506,1333,54,T3,白银,逃跑计划,0.4631915866483768,0.007416224134773851,0.0188827841634161,0.5362325748429686
555,血港鬼影,5,0.4443088024849607,0.0077598078770362506,1243,55,T3,棱彩,质变：混沌,0.4601001669449082,0.010156191716345535,0.0157913644599475,0.458515094234238
555,血港鬼影,5,0.4443088024849607,0.0077598078770362506,12317,56,T3,棱彩,潘朵拉的盒子,0.4593852908891328,0.006178491254484662,0.01507648840417214,0.42950185306641353
555,血港鬼影,5,0.4443088024849607,0.0077598078770362506,1195,57,T3,棱彩,巨人杀手,0.4540447504302926,0.009850997307507105,0.009735947945331891,0.29270184488641005
555,血港鬼影,5,0.4443088024849607,0.0077598078770362506,1337,58,T3,棱彩,尊我为王,0.4534019439679817,0.005930944678426825,0.009093141483021039,0.26579139529037754
